
insert into TabladeTarjetas values(340383198517962, 'American Express', 'American Express', 'Karly M Soria', '42583', '46600', '23', '7758', '6065'),
(4904561174616650, 'Visa', 'Citibank', 'Victor Z Paulk', '43040', '44136', '17', '669', '202'),
(5238790720624010, 'Master Card', 'Capital One', 'Vivian E Mccarty', '41456', '47665', '3', '430', '6842'),
(5484442485434590, 'Master Card', 'Bank of America', 'Lorenza P Staton', '39083', '40179', '8', '810', '1543'),
(30446764957428, 'Diners Club International', 'Diners Club', 'Edwin Henson', '39600', '42156', '14', '731', '5454'),
(30927559477482, 'Diners Club International', 'Diners Club', 'Tyrell C Wood', '41365', '42826', '21', '561', '4058'),
(5324613771648070, 'Master Card', 'Barclays', 'Shane I Richmond', '41183', '44470', '23', '775', '4105'),
(4174002741594210, 'Visa', 'U.S. Bancorp', 'Roosevelt Starnes', '40269', '47574', '3', '855', '5764'),
(3531424376800770, 'Japan Credit Bureau', 'JCB', 'Jacob O Solomon', '42064', '48639', '17', '63', '7265'),
(3563352556627470, 'Japan Credit Bureau', 'JCB', 'Providencia Solis', '41852', '46966', '3', '425', '7700'),
(3569322020772350, 'Japan Credit Bureau', 'JCB', 'Luis S Flynn', '41730', '45017', '27', '534', '8454'),
(30090688821136, 'Diners Club International', 'Diners Club', 'Genia R Meador', '40725', '45839', '1', '927', '9387'),
(6011263155894700, 'Discover', 'Discover', 'Paul Y Hansen', '43009', '45200', '20', '525', '8879'),
(6577650651546730, 'Discover', 'Discover', 'Antony Kahn', '40575', '47515', '3', '12', '7911'),
(5455009809449110, 'Master Card', 'Capital One', 'Mike C Mcclain', '40087', '46296', '5', '934', '5168'),
(6476879567709290, 'Discover', 'Discover', 'Yuonne Barbour', '41395', '46874', '25', '397', '9708'),
(346143838116318, 'American Express', 'American Express', 'Vernon Calhoun', '40787', '41518', '26', '3720', '9033'),
(30065494230730, 'Diners Club International', 'Diners Club', 'Sebastian Jaramillo', '42125', '47604', '16', '187', '6601'),
(4833247402265790, 'Visa', 'Bank of America', 'Paula Martin', '41153', '43344', '23', '451', '4141'),
(3560466326787000, 'Japan Credit Bureau', 'JCB', 'Tashia Sanderson', '41306', '45689', '5', '830', '163'),
(6011771829765850, 'Discover', 'Discover', 'Rose Townsend', '41214', '45231', '25', '815', '8039'),
(5498526608701180, 'Master Card', 'Chase', 'Alvaro U Lusk', '41030', '41395', '16', '325', '962'),
(6011254724099540, 'Discover', 'Discover', 'Pamela Barr', '42948', '46235', '12', '985', '9420'),
(5160048391323400, 'Master Card', 'Bank of America', 'Roseann Hargis', '39234', '45078', '20', '933', '1742'),
(5289806654455400, 'Master Card', 'Chase', 'Erica N Morris', '42370', '45658', '13', '611', '3561'),
(349765184234167, 'American Express', 'American Express', 'Akiko E Diaz', '39326', '42614', '15', '4835', '6127'),
(4627444012908590, 'Visa', 'PNC', 'Floyd U Lambert', '42614', '42979', '17', '749', '1232'),
(3550971394855080, 'Japan Credit Bureau', 'JCB', 'Valene Y Shumaker', '39995', '46935', '7', '542', '6884'),
(5451612225604580, 'Master Card', 'Barclays', 'Annette Murray', '40210', '47515', '20', '387', '8898'),
(30318332529130, 'Diners Club International', 'Diners Club', 'Bruna V Gates', '42614', '44440', '14', '193', '324'),
(4964294193815400, 'Visa', 'PNC', 'Tina Mcintosh', '42125', '46874', '1', '815', '518'),
(5381684326851090, 'Master Card', 'Bank of America', 'Ron I Olivarez', '43070', '48549', '14', '245', '5894'),
(3564154002776390, 'Japan Credit Bureau', 'JCB', 'Dale Chan', '41153', '42979', '24', '293', '3764'),
(30544536906713, 'Diners Club International', 'Diners Club', 'Trevor A Jarrell', '40238', '44256', '21', '705', '2533'),
(3539431324978740, 'Japan Credit Bureau', 'JCB', 'June Q Mclean', '40725', '45108', '16', '697', '5962'),
(30004738144266, 'Diners Club International', 'Diners Club', 'Lashawn O Peltier', '39539', '41730', '7', '643', '5843'),
(6011700384531920, 'Discover', 'Discover', 'Donald J Combs', '39234', '41426', '22', '493', '7573'),
(3574701748963760, 'Japan Credit Bureau', 'JCB', 'Eric S Baer', '40422', '45536', '19', '402', '2643'),
(4190009123874280, 'Visa', 'Chase', 'Julie N Aguilar', '42095', '49035', '27', '413', '3525'),
(30143243438084, 'Diners Club International', 'Diners Club', 'Freddy Skinner', '42278', '45566', '24', '317', '1975'),
(343627340639091, 'American Express', 'American Express', 'Warren C Burton', '40848', '43405', '19', '9669', '5214'),
(4749656113817710, 'Visa', 'Chase', 'Elbert L Costello', '40452', '47027', '21', '572', '4107'),
(30214422403361, 'Diners Club International', 'Diners Club', 'Rita K Hudson', '42401', '48976', '14', '682', '8473'),
(3565509582902560, 'Japan Credit Bureau', 'JCB', 'Helene G Mcalister', '40575', '40940', '1', '501', '1615'),
(374723441862096, 'American Express', 'American Express', 'Stanley Potter', '42675', '45597', '26', '7877', '5339'),
(6449890765846490, 'Discover', 'Discover', 'Lincoln P Canada', '39173', '41365', '27', '997', '9097'),
(5177440237484810, 'Master Card', 'Bank of America', 'Randy U Floyd', '40179', '43831', '3', '618', '9912'),
(30962469248145, 'Diners Club International', 'Diners Club', 'Maude Phillips', '39417', '42339', '17', '260', '575'),
(4465359272041990, 'Visa', 'Capital One', 'Phyllis K Evans', '40026', '44409', '6', '13', '1138'),
(344043153534248, 'American Express', 'American Express', 'Tawna Luis', '41426', '48366', '10', '5122', '6164'),
(377084905918560, 'American Express', 'U.S. Bancorp', 'Joyce P Evans', '42675', '44501', '15', '9902', '7813'),
(4193373414533340, 'Visa', 'Chase', 'Jeannette Wright', '41579', '42675', '25', '940', '2058'),
(3581164771298690, 'Japan Credit Bureau', 'JCB', 'Paul R Hewitt', '39173', '45748', '26', '433', '3626'),
(39208723087114, 'Diners Club International', 'Diners Club', 'Iluminada A Peachey', '43009', '45931', '22', '309', '393'),
(3543644632498780, 'Japan Credit Bureau', 'JCB', 'Kelly Ellis', '42461', '46478', '25', '873', '2553'),
(3550577522873720, 'Japan Credit Bureau', 'JCB', 'Vennie T Gatlin', '39904', '41730', '3', '839', '8066'),
(36595767642959, 'Diners Club International', 'Diners Club', 'Anne D Prince', '40238', '43160', '22', '791', '7420'),
(5213125570285950, 'Master Card', 'Barclays', 'Dino Denson', '41091', '42186', '3', '233', '6055'),
(5171750570635110, 'Master Card', 'Bank of America', 'Diana A Robbins', '42217', '48061', '13', '14', '6936'),
(4423302725370700, 'Visa', 'Chase', 'Carolee X Spellman', '39569', '42856', '28', '299', '3308'),
(3579116103121460, 'Japan Credit Bureau', 'JCB', 'Rose K Underwood', '41091', '46569', '21', '655', '9021'),
(30494316657708, 'Diners Club International', 'Diners Club', 'Hosea F Lunsford', '42309', '49249', '14', '103', '1770'),
(4525240407905530, 'Visa', 'Chase', 'Clara E Bray', '39904', '40634', '17', '346', '731'),
(5323681395239080, 'Master Card', 'Wells Fargo', 'Kitty Goulet', '41730', '45383', '25', '668', '1602'),
(5425581833862990, 'Master Card', 'Chase', 'Donna D Nguyen', '40513', '41244', '6', '411', '7599'),
(375967652345577, 'American Express', 'American Express', 'Greg F Christensen', '41395', '45413', '26', '2178', '8158'),
(30199253621654, 'Diners Club International', 'Diners Club', 'Miguel S Mckinney', '40817', '41548', '6', '600', '7702'),
(4935047773877670, 'Visa', 'First National', 'Shae B Bonilla', '39965', '42156', '24', '811', '4784'),
(4828395517103550, 'Visa', 'Citibank', 'Jack C Foster', '39448', '44562', '8', '456', '8268'),
(3542459289360090, 'Japan Credit Bureau', 'JCB', 'Jodee T Graff', '41640', '45292', '1', '342', '7998'),
(6011990061866950, 'Discover', 'Discover', 'Derek V Curry', '39873', '40969', '28', '264', '5136'),
(377579388171777, 'American Express', 'American Express', 'Dewayne Goldsmith', '39569', '44682', '4', '5289', '4116'),
(6011520822698300, 'Discover', 'Discover', 'Carl V Villarreal', '42522', '47270', '15', '290', '7873'),
(5245840794729420, 'Master Card', 'Capital One', 'Isaiah Quintero', '43009', '45931', '9', '200', '8885'),
(375630827912172, 'American Express', 'USAA', 'Philip I Harrell', '39203', '43586', '14', '7348', '5878'),
(6011847069704490, 'Discover', 'Discover', 'Luisa I Bernstein', '42856', '49796', '25', '221', '4188'),
(371359193278463, 'American Express', 'Bank of America', 'Diana Espinoza', '40725', '46204', '21', '9814', '3266'),
(4059146871189740, 'Visa', 'Chase', 'Teodoro D Jordan', '41183', '43009', '8', '0', '8381'),
(6011691187971300, 'Discover', 'Discover', 'Alicia R Atkinson', '39753', '43040', '24', '364', '2861'),
(6011011141523500, 'Discover', 'Discover', 'Melvin J Mcfall', '42675', '44136', '5', '289', '9326'),
(5325703253779490, 'Master Card', 'Citibank', 'Marjorie I Cummings', '42095', '48670', '7', '907', '2093'),
(3571094604412010, 'Japan Credit Bureau', 'JCB', 'Lonnie C Caruso', '42156', '44348', '6', '400', '1678'),
(5123453094436360, 'Master Card', 'Chase', 'Frederick Dennis', '40057', '41153', '7', '501', '6136'),
(5433253574059670, 'Master Card', 'Bank of America', 'Deon S Engel', '42339', '43800', '28', '411', '2499'),
(371562340806090, 'American Express', 'American Express', 'Crystal P Stevenson', '39203', '43221', '3', '675', '6071'),
(3555659311411360, 'Japan Credit Bureau', 'JCB', 'Maureen T Childers', '42522', '48366', '21', '847', '1750'),
(3541138336621240, 'Japan Credit Bureau', 'JCB', 'Calvin Bonner', '40148', '46357', '9', '210', '2407'),
(5379545689823290, 'Master Card', 'Capital One', 'Morris B Baughman', '41548', '45200', '27', '7', '6727'),
(5213300464483680, 'Master Card', 'Chase', 'Nicholas Hooper', '42156', '44348', '27', '113', '6769'),
(3534254331013540, 'Japan Credit Bureau', 'JCB', 'Johnie D Kessler', '39326', '40422', '6', '522', '2011'),
(30955787148096, 'Diners Club International', 'Diners Club', 'Glen U Holloway', '39753', '43770', '28', '162', '7056'),
(4178287204889390, 'Visa', 'Chase', 'Willia Overstreet', '40391', '45139', '23', '428', '8982'),
(6011315788607210, 'Discover', 'Discover', 'Antonio Langley', '43070', '44166', '21', '13', '3893'),
(6011539074398770, 'Discover', 'Discover', 'Joselyn Q Mcclanahan', '42156', '46174', '23', '419', '1470'),
(6011219742102500, 'Discover', 'Discover', 'Brent Q Oliver', '39356', '45566', '14', '398', '8682'),
(38663268264463, 'Diners Club International', 'Diners Club', 'Phoebe L Pope', '42005', '48214', '16', '12', '6599'),
(5359333423333530, 'Master Card', 'Wells Fargo', 'Gloria A Callahan', '42248', '44805', '26', '469', '6065'),
(4203399590015700, 'Visa', 'Barclays', 'Rashad J Shanahan', '42217', '44409', '7', '728', '2388'),
(5235995543230750, 'Master Card', 'Capital One', 'Jimmy Fuller', '40603', '46447', '16', '722', '6124'),
(5374380955681720, 'Master Card', 'U.S. Bancorp', 'Pauline Q Gibbs', '42125', '45778', '15', '81', '6179'),
(3541689069451350, 'Japan Credit Bureau', 'JCB', 'Bill Byers', '41730', '43922', '24', '375', '4103'),
(371791572319379, 'American Express', 'Bank of America', 'Lien E Ralph', '39845', '41306', '14', '6228', '436'),
(378131246497793, 'American Express', 'American Express', 'Michelle S Kemp', '40057', '47362', '1', '8254', '7999'),
(3531883809258070, 'Japan Credit Bureau', 'JCB', 'Monet T Hay', '42826', '47209', '22', '324', '5000'),
(5433413323742350, 'Master Card', 'USAA', 'Ernest Webb', '42095', '49035', '12', '269', '6803'),
(5257292446172890, 'Master Card', 'Bank of America', 'Jaleesa B Pinckney', '41548', '43374', '27', '984', '7347'),
(5377898493915330, 'Master Card', 'Bank of America', 'Juan A Franks', '39356', '46661', '14', '537', '4730'),
(6228345321957790, 'Discover', 'Discover', 'Gonzalo H Shah', '40057', '45901', '2', '104', '4917'),
(345900867026275, 'American Express', 'American Express', 'Alice Cook', '42278', '42644', '26', '2889', '9224'),
(4017141344147090, 'Visa', 'Barclays', 'Gabriele Hawes', '40787', '43344', '22', '837', '6075'),
(6442455651813910, 'Discover', 'Discover', 'Rebecca N Hatfield', '42856', '47969', '12', '117', '3078'),
(6229219152803820, 'Discover', 'Discover', 'Kamala D Lohr', '42064', '49369', '14', '394', '8772'),
(5418553739919380, 'Master Card', 'Citibank', 'Sheila Z Hopkins', '42095', '43191', '7', '779', '3461'),
(5455906977615600, 'Master Card', 'Bank of America', 'Lise J Garner', '40483', '47423', '9', '469', '8454'),
(3575434432078570, 'Japan Credit Bureau', 'JCB', 'Clifford G Carrillo', '40909', '44562', '12', '848', '3172'),
(3558358792174960, 'Japan Credit Bureau', 'JCB', 'Lilli O Rader', '40179', '41275', '24', '919', '9301'),
(6011132998169810, 'Discover', 'Discover', 'Jose N Black', '40210', '42036', '7', '33', '1936'),
(3571279291960980, 'Japan Credit Bureau', 'JCB', 'Cody Parish', '41365', '47939', '4', '698', '5346'),
(30916945863711, 'Diners Club International', 'Diners Club', 'Joseph W Fisher', '40087', '42278', '19', '114', '8044'),
(38117977277670, 'Diners Club International', 'Diners Club', 'Quintin L Race', '42370', '44562', '4', '427', '537'),
(343388243601965, 'American Express', 'Bank of America', 'Diane V Bradley', '42795', '45717', '11', '7253', '3172'),
(3588501510649770, 'Japan Credit Bureau', 'JCB', 'Jerrell Hennessey', '41153', '45536', '28', '743', '9307'),
(4238611369227860, 'Visa', 'Citibank', 'Randall C Melendez', '42370', '47484', '22', '679', '5656'),
(4422720619413540, 'Visa', 'Chase', 'Zachery J Bach', '42644', '49583', '5', '68', '1719'),
(3581079210934480, 'Japan Credit Bureau', 'JCB', 'Ann W Baxter', '42125', '48335', '15', '830', '77'),
(6011776682659300, 'Discover', 'Discover', 'Herta V Strader', '40634', '44652', '3', '296', '9737'),
(4519050727800670, 'Visa', 'Chase', 'Gregory Flowers', '40603', '46813', '21', '475', '3431'),
(6011864185018760, 'Discover', 'Discover', 'Wan Stacey', '41699', '45717', '14', '781', '3698'),
(30057745094171, 'Diners Club International', 'Diners Club', 'Juanita Carroll', '41061', '42522', '9', '29', '725'),
(5456539339338530, 'Master Card', 'Chase', 'Nina R Lindstrom', '41760', '48335', '26', '93', '537'),
(6227177684893790, 'Discover', 'Discover', 'Ray D Neal', '39934', '41030', '6', '652', '5290'),
(4518945916109620, 'Visa', 'USAA', 'Clemencia K Gower', '42522', '44348', '19', '406', '7840'),
(4233851610167290, 'Visa', 'Chase', 'Alma C Moran', '41334', '47178', '8', '649', '1639'),
(3583267573569950, 'Japan Credit Bureau', 'JCB', 'Leif Jett', '40057', '42614', '21', '912', '269'),
(375880168213173, 'American Express', 'American Express', 'Joann Palmer', '39783', '43800', '1', '5681', '1177'),
(4579852286405250, 'Visa', 'Chase', 'Rob Darden', '39600', '39965', '21', '888', '7439'),
(6011293433180600, 'Discover', 'Discover', 'Melanie E Winters', '41579', '45962', '18', '529', '3569'),
(3560858370602930, 'Japan Credit Bureau', 'JCB', 'Reed Kraus', '39539', '43556', '25', '75', '4805'),
(30361696512912, 'Diners Club International', 'Diners Club', 'Eleanor B Brennan', '42339', '46357', '28', '170', '9092'),
(6011291667998630, 'Discover', 'Discover', 'Merlin Z Park', '41214', '47788', '26', '956', '1615'),
(5389302611951880, 'Master Card', 'Capital One', 'Wayne Rush', '42856', '43586', '7', '858', '9773'),
(4491482868384940, 'Visa', 'Citibank', 'Darrel C Hummel', '39661', '41122', '1', '10', '2493'),
(375204694802138, 'American Express', 'U.S. Bancorp', 'Nicole U Bradshaw', '39783', '41244', '24', '4770', '9625'),
(4836533758766740, 'Visa', 'Wells Fargo', 'Rima C Montano', '41244', '45992', '13', '603', '1727'),
(6225274805339800, 'Discover', 'Discover', 'Rhonda A Mendez', '42705', '47088', '15', '141', '6804'),
(5378912996178920, 'Master Card', 'Capital One', 'Tynisha U Nutt', '39753', '47058', '24', '304', '1804'),
(378040045251626, 'American Express', 'American Express', 'Marion B Bright', '41426', '47270', '18', '3402', '2985'),
(4939192814620790, 'Visa', 'Chase', 'Giovanni F Jaeger', '41821', '44013', '25', '88', '275'),
(371362573286585, 'American Express', 'Bank of America', 'Oscar N Small', '39569', '44682', '3', '8870', '7784'),
(30168328266357, 'Diners Club International', 'Diners Club', 'Gerry Y Mayers', '41671', '43862', '17', '890', '1493'),
(3580818899439180, 'Japan Credit Bureau', 'JCB', 'Richard Workman', '39814', '46023', '2', '729', '8528'),
(5414061421182430, 'Master Card', 'USAA', 'Malena Q Mcclure', '42064', '46082', '17', '386', '2308'),
(30943153427013, 'Diners Club International', 'Diners Club', 'Clarence S Moran', '40878', '47088', '7', '409', '8190'),
(36114511304187, 'Diners Club International', 'Diners Club', 'Althea Bowden', '42644', '47027', '16', '734', '3256'),
(3531799978666470, 'Japan Credit Bureau', 'JCB', 'Keith S Casey', '41609', '47088', '11', '289', '6797'),
(3535726102379510, 'Japan Credit Bureau', 'JCB', 'Louie L Rupp', '42887', '48000', '11', '143', '9332'),
(30150538277598, 'Diners Club International', 'Diners Club', 'Bernard N Ford', '42614', '47362', '24', '190', '4133'),
(30366044378296, 'Diners Club International', 'Diners Club', 'Nicholas D Seymour', '39142', '43891', '1', '139', '6883'),
(3546666032969700, 'Japan Credit Bureau', 'JCB', 'Tracy W Roy', '42583', '43313', '11', '338', '4043'),
(5301604866490710, 'Master Card', 'Citibank', 'Shakia Nugent', '40848', '44866', '14', '28', '5711'),
(5454084442240230, 'Master Card', 'Barclays', 'Gilbert E Huff', '42979', '49188', '17', '63', '3142'),
(6011893129995410, 'Discover', 'Discover', 'Kathey Krebs', '40878', '43435', '2', '866', '7917'),
(6537148545316300, 'Discover', 'Discover', 'Donald English', '42005', '47119', '18', '20', '9264'),
(3536131147722100, 'Japan Credit Bureau', 'JCB', 'Lanny B Noland', '41760', '48335', '20', '634', '7580'),
(5190856445746140, 'Master Card', 'Chase', 'Jason Kaufman', '39295', '45870', '8', '952', '7440'),
(6011858432084780, 'Discover', 'Discover', 'Charlotte U Stine', '40787', '45536', '11', '806', '7809'),
(372026469797364, 'American Express', 'American Express', 'Bernard Humphrey', '39508', '44256', '1', '300', '3732'),
(39521031820475, 'Diners Club International', 'Diners Club', 'Yuko I Marcum', '39479', '45323', '26', '573', '4246'),
(30952893535928, 'Diners Club International', 'Diners Club', 'Irene O Morales', '39295', '44409', '14', '443', '9731'),
(5318845096447370, 'Master Card', 'Chase', 'Rosie Milner', '41122', '44409', '5', '461', '6573'),
(4002160651898820, 'Visa', 'Cabela’s WFB', 'Frances Salinas', '39356', '44835', '15', '662', '3027'),
(372853102559624, 'American Express', 'USAA', 'Song M Sousa', '39173', '43922', '25', '626', '2095'),
(3577893331305860, 'Japan Credit Bureau', 'JCB', 'Tammy L Doyle', '39600', '43617', '14', '108', '1477'),
(5205411104163660, 'Master Card', 'USAA', 'Tristan E Bolling', '39661', '42948', '22', '429', '7946'),
(370159007086255, 'American Express', 'U.S. Bancorp', 'Patrick K Rosa', '42583', '49522', '5', '5976', '1566'),
(3574360874881380, 'Japan Credit Bureau', 'JCB', 'Gustavo Tracey', '42125', '49065', '27', '743', '1002'),
(30596368384138, 'Diners Club International', 'Diners Club', 'Kyle O Velazquez', '41214', '44866', '11', '302', '3684'),
(3566468331775700, 'Japan Credit Bureau', 'JCB', 'Shelia R Epstein', '40118', '43405', '26', '596', '7042'),
(3552554562405190, 'Japan Credit Bureau', 'JCB', 'Charles S Guerra', '40452', '43374', '11', '461', '9635'),
(4907800366408800, 'Visa', 'Chase', 'Elise Q Atwell', '42430', '42795', '15', '497', '3233'),
(5155034949748310, 'Master Card', 'Capital One', 'Harry T Bowman', '41334', '45717', '14', '104', '177'),
(372305650287942, 'American Express', 'American Express', 'Chris R Medina', '41183', '45200', '23', '1175', '504'),
(3584786601747570, 'Japan Credit Bureau', 'JCB', 'Barry I Frye', '41944', '45597', '13', '425', '2921'),
(39998535377063, 'Diners Club International', 'Diners Club', 'Isela F Box', '42856', '50161', '7', '559', '4853'),
(30148915406061, 'Diners Club International', 'Diners Club', 'Melvin P Lancaster', '42064', '48639', '25', '895', '3386'),
(4709628534886930, 'Visa', 'First National', 'January Stamps', '39569', '40664', '4', '332', '9171'),
(4653165044768330, 'Visa', 'USAA', 'Glen X Mullen', '40299', '41760', '8', '914', '4541'),
(340560617010840, 'American Express', 'American Express', 'Lea Z Sanches', '42856', '44682', '27', '742', '9632'),
(3556548446495920, 'Japan Credit Bureau', 'JCB', 'Yvonne K Short', '41275', '42736', '14', '267', '2626'),
(346657289390023, 'American Express', 'American Express', 'April Beauregard', '40148', '43070', '6', '8873', '3222'),
(4649950613874910, 'Visa', 'Bank of America', 'Frank G Farmer', '41395', '45413', '12', '117', '9578'),
(4372464811213360, 'Visa', 'U.S. Bancorp', 'Abdul Medrano', '40603', '45352', '15', '352', '5452'),
(5369052169840950, 'Master Card', 'Bank of America', 'Steve C Joseph', '43070', '46722', '3', '834', '4877'),
(370753716559485, 'American Express', 'Bank of America', 'Shay Y Mcdowell', '42614', '48823', '25', '3790', '9841'),
(5131335790825950, 'Master Card', 'GE Capital', 'Jerome E Greer', '43070', '48914', '11', '5', '2107'),
(30327519761721, 'Diners Club International', 'Diners Club', 'Leatrice G Rausch', '41153', '46997', '1', '23', '3211'),
(4447577095457090, 'Visa', 'Chase', 'Clara X Galloway', '40026', '42217', '19', '220', '8067'),
(371420514008870, 'American Express', 'American Express', 'Cheryl Leone', '39417', '43435', '2', '6886', '3369'),
(30573285876744, 'Diners Club International', 'Diners Club', 'Virginia Nelson', '42248', '44805', '2', '702', '4727'),
(5104609924279950, 'Master Card', 'Citibank', 'Freddy Khan', '42826', '47939', '7', '969', '8232'),
(5213453154881330, 'Master Card', 'Wells Fargo', 'Marjorie Brennan', '41671', '45323', '7', '700', '6852'),
(30372168412556, 'Diners Club International', 'Diners Club', 'Alva Gale', '42705', '50010', '1', '759', '7963'),
(6011793968775450, 'Discover', 'Discover', 'Glen Bernard', '41944', '49249', '19', '43', '597'),
(30197470516640, 'Diners Club International', 'Diners Club', 'Bryce Pedroza', '42979', '45170', '11', '387', '4169'),
(343550951200518, 'American Express', 'American Express', 'Norman Glover', '40513', '41609', '13', '3588', '899'),
(5231508268761800, 'Master Card', 'Bank of America', 'Laurine P Anderson', '42522', '46905', '17', '47', '2748'),
(372104939651147, 'American Express', 'USAA', 'Jeff L Carr', '41913', '48488', '12', '2619', '7962'),
(3536526439176040, 'Japan Credit Bureau', 'JCB', 'Mason N Harper', '39934', '45778', '27', '727', '9411'),
(3530465541275880, 'Japan Credit Bureau', 'JCB', 'Melissa Guzman', '40360', '47665', '3', '946', '5665'),
(6011708945189750, 'Discover', 'Discover', 'Neal Logan', '41334', '44986', '21', '833', '9479'),
(4582165470554070, 'Visa', 'PNC', 'Troy L Stewart', '41153', '47727', '7', '770', '7186'),
(4799636049417530, 'Visa', 'Bank of America', 'Fredia Keck', '39661', '44409', '4', '663', '5989'),
(30471973627240, 'Diners Club International', 'Diners Club', 'Crystal Dotson', '41821', '47300', '4', '66', '5679'),
(3582468314194380, 'Japan Credit Bureau', 'JCB', 'Brenton F Figueroa', '41275', '43466', '13', '534', '2692'),
(6011565261355480, 'Discover', 'Discover', 'Gerald F Dillon', '42552', '44378', '26', '191', '284'),
(4229413764138070, 'Visa', 'Chase', 'Lakia Z Moorman', '39995', '44378', '26', '198', '985'),
(373789499893888, 'American Express', 'American Express', 'Cathy N Buck', '41365', '46844', '16', '778', '323'),
(3534589371895740, 'Japan Credit Bureau', 'JCB', 'Allegra V Harbin', '40057', '42979', '23', '462', '2363'),
(4949985261382040, 'Visa', 'Chase', 'Andrew K Pena', '42675', '45962', '28', '940', '2953'),
(6011164191106240, 'Discover', 'Discover', 'Harriett Grace', '43070', '49279', '6', '311', '433'),
(5293679902773440, 'Master Card', 'Bank of America', 'Ricardo X Mcmillan', '42064', '43891', '7', '753', '2117'),
(346850857162250, 'American Express', 'American Express', 'Jacques F Krug', '41091', '43647', '10', '5877', '9064'),
(6011590306587340, 'Discover', 'Discover', 'Tom F Ratliff', '39326', '40787', '25', '632', '9101'),
(5226430689797410, 'Master Card', 'Chase', 'Tyrell T Horne', '40969', '46082', '13', '413', '5732'),
(4560970851070150, 'Visa', 'First National', 'Martha B Graves', '42552', '45474', '2', '814', '7493'),
(6011586680867470, 'Discover', 'Discover', 'Dayna Buxton', '39417', '42705', '14', '553', '1620'),
(4156567744394180, 'Visa', 'Chase', 'Joel N Chen', '40817', '48122', '27', '870', '7882'),
(5368074258505760, 'Master Card', 'Capital One', 'Ileen I Golding', '41275', '43101', '1', '970', '2545'),
(4076385312623410, 'Visa', 'Chase', 'Laura W Miranda', '39114', '44958', '8', '67', '83'),
(5233851034628920, 'Master Card', 'Citibank', 'Mariann Almanza', '41699', '47178', '15', '596', '7262'),
(372128133547462, 'American Express', 'American Express', 'Michele Z Marquez', '40391', '44774', '6', '5607', '3225'),
(5339106149125400, 'Master Card', 'Chase', 'Consuela N Krieger', '39448', '44562', '16', '967', '2212'),
(6228312734599940, 'Discover', 'Discover', 'Jim W Downs', '39722', '41183', '5', '860', '6496'),
(372050379623197, 'American Express', 'Bank of America', 'Jarrod F Venegas', '43040', '44866', '17', '6001', '4286'),
(30935523190180, 'Diners Club International', 'Diners Club', 'Dorothy V Rocha', '41609', '48183', '25', '874', '5865'),
(4013729188139670, 'Visa', 'Citibank', 'Morris D Abbott', '41518', '43344', '22', '768', '5650'),
(341924666103436, 'American Express', 'USAA', 'Louise Q Tyler', '41548', '46296', '27', '9011', '4600'),
(3538481573686240, 'Japan Credit Bureau', 'JCB', 'Yaeko N Mercado', '42675', '44866', '5', '437', '7210'),
(30052120649301, 'Diners Club International', 'Diners Club', 'Leon Bates', '42552', '49491', '18', '22', '7877'),
(38385120878393, 'Diners Club International', 'Diners Club', 'Martin A Shepard', '41671', '48976', '10', '964', '9766'),
(36432163142626, 'Diners Club International', 'Diners Club', 'Jerry O Pollard', '42826', '45748', '26', '444', '4308'),
(3540589703682880, 'Japan Credit Bureau', 'JCB', 'Wonda P Shultz', '39508', '40603', '12', '439', '4428'),
(30327510553325, 'Diners Club International', 'Diners Club', 'George S Klein', '39417', '44531', '20', '596', '9701'),
(38757447553042, 'Diners Club International', 'Diners Club', 'Arnetta L Moffitt', '42461', '46478', '4', '558', '6355'),
(4322020385569990, 'Visa', 'Citibank', 'Francisco Lynch', '41426', '46905', '24', '304', '850'),
(348004348965040, 'American Express', 'American Express', 'Brant C Narvaez', '40848', '41579', '3', '1494', '8368'),
(345989881430365, 'American Express', 'American Express', 'Tammy F Cruz', '39203', '46508', '13', '5018', '9682'),
(3545811673966360, 'Japan Credit Bureau', 'JCB', 'Delbert A Bock', '40148', '41244', '17', '339', '3515'),
(5172235471272960, 'Master Card', 'GE Capital', 'Ricardo Savage', '41183', '45931', '16', '684', '564'),
(3553106718331930, 'Japan Credit Bureau', 'JCB', 'Sybil H Simmons', '39508', '43160', '23', '379', '8146'),
(6011475563939510, 'Discover', 'Discover', 'Janice Gates', '39142', '39508', '4', '292', '6093'),
(6011317351431870, 'Discover', 'Discover', 'Kenya W Raymond', '40118', '47058', '17', '813', '9547'),
(5384830912322240, 'Master Card', 'Capital One', 'Jeffery A Rivas', '41699', '45717', '25', '175', '9169'),
(4541859828825370, 'Visa', 'Chase', 'Bernita N Low', '39661', '41122', '2', '125', '4724'),
(3545878258334120, 'Japan Credit Bureau', 'JCB', 'Joyce Z Gentry', '41518', '48458', '24', '776', '1673'),
(345345792821509, 'American Express', 'American Express', 'Malcom F Steele', '40909', '44562', '7', '4495', '9364'),
(5316212005811220, 'Master Card', 'U.S. Bancorp', 'Beverly M Gay', '40179', '46023', '23', '557', '2554'),
(378468150347535, 'American Express', 'American Express', 'Yesenia M Barksdale', '42401', '43862', '1', '7818', '8568'),
(6011394896948210, 'Discover', 'Discover', 'Phillip H Greer', '39569', '45413', '27', '723', '652'),
